subject_id,epoch_index,start_time,end_time,raw_stage,target_stage,delta_absolute,theta_absolute,alpha_absolute,beta_absolute,delta_relative,theta_relative,alpha_relative,beta_relative,spectral_entropy,dominant_frequency
SC4011,0,0.0,30.0,Sleep stage W,W,7.747519653451623e-10,5.6574178029686833e-11,6.807433159115072e-12,3.062069948854343e-12,0.921012809070674,0.06725448267146063,0.008092568224262813,0.0036401400336026177,0.631950712679782,0.5859375
SC4011,1,30.0,60.0,Sleep stage W,W,1.1233391900451757e-09,5.7777671749052815e-11,7.918299803077409e-12,4.2508642954285665e-12,0.9413830093290253,0.04841896284323579,0.006635709822507542,0.003562318005231279,0.5980644537128146,1.26953125
SC4011,2,60.0,90.0,Sleep stage W,W,3.223387865338059e-10,2.672621382847858e-11,4.0524645156134194e-12,3.180470280223383e-12,0.904688898606037,0.07501085802424808,0.011373808590316356,0.008926434779398662,0.5906399728293268,0.5859375
SC4011,3,90.0,120.0,Sleep stage W,W,4.5915378558392346e-10,5.752622701640161e-12,3.658478077518669e-12,1.9105312834828344e-12,0.9759357627667875,0.01222725457244123,0.007776130144735904,0.004060852516035346,0.4684691095670985,0.5859375
SC4011,4,120.0,150.0,Sleep stage W,W,2.20465782041779e-11,5.193684348896229e-12,4.247698910555317e-12,2.083869227214058e-12,0.6566987188515446,0.15470363819965202,0.1265256860631627,0.06207195688564041,0.7358736126475881,0.5859375
SC4011,5,150.0,180.0,Sleep stage W,W,9.56549820823009e-10,7.554116983549744e-11,9.08819042526128e-12,3.8763531138805846e-12,0.9153100380999462,0.07228435940822506,0.008696370793575893,0.003709231698252948,0.6115462736230963,2.734375
SC4011,6,180.0,210.0,Sleep stage W,W,3.2734069917918676e-10,2.3929717091963992e-11,3.4971502506516144e-12,2.585237915137388e-12,0.9160154757843825,0.06696384300010928,0.009786267820569851,0.007234413394938367,0.6247337627267291,0.5859375
SC4011,7,210.0,240.0,Sleep stage W,W,4.3736495491652117e-10,1.9011206551324514e-11,3.3691213797637126e-12,2.324695519418998e-12,0.9465340216695842,0.04114356578306773,0.00729136610794388,0.005031046439404166,0.583684050195087,0.5859375
SC4011,8,240.0,270.0,Sleep stage W,W,1.5742529846221869e-09,8.207069812233984e-11,1.0563965521133282e-11,3.3961178827677783e-12,0.9425063073278368,0.04913578146759449,0.006324653172851665,0.0020332580317169806,0.5956835080767832,1.07421875
SC4011,9,270.0,300.0,Sleep stage W,W,1.1809694170885341e-09,1.1098018480670363e-10,1.1790761294092049e-11,4.963945780667737e-12,0.9023959109739649,0.084801573622119,0.00900949222316831,0.003793023180747804,0.6297918314876281,2.05078125
